"drug_id","spec","qty","rule_key","pre_tc","note"
垂体后叶注射液,"1ml:6单位*10支",10,垂体后叶注射液,,
塞来昔布胶囊,"0.2g*30粒",30,塞来昔布胶囊,,
复合维生素B片,"100片",100,复合维生素B片,,
复方α-酮酸片,"0.63g*100片",100,复方α-酮酸片,,
复方丹参片,"60片/瓶",60,复方丹参片,,
复方倍他米松注射液,"1ml:5mg:2mg",10,复方倍他米松注射液,,
复方氨基酸注射液(18AA),"250ml:12.5g(总氨基酸)",30,复方氨基酸注射液(18AA),,
复方氨基酸注射液3AA,"250ml*10.65g",30,复方氨基酸注射液(3AA),,
复方氨林巴比妥注射液（安痛定）,"2ml:0.1g*10支/盒",10,复方氨林巴比妥注射液,,
复方氨酚烷胺片,"10片",10,复方氨酚烷胺片,,
复方氯化钠注射液(林格),"500ml直立式聚丙烯输液袋装",30,复方氯化钠注射液,,
复方甲氧那明胶囊,"48片/盒",48,复方甲氧那明胶囊,,
复方磺胺甲噁唑片,"100片/瓶（0.4g：80mg）",100,复方磺胺甲噁唑片,,
复方胃蛋白酶颗粒,"10g*18袋",18,复方胃蛋白酶颗粒,,
复方黄连素片,"100片",100,复方黄连素片,,
多潘立酮片,"10mg*30片",30,多潘立酮片,,
天麻素注射液,"2ml:0.2g*10支",10,天麻素注射液,,
头孢丙烯片,"0.25g*12片",12,头孢丙烯片,,
奥氮平片,"10mg*14片",14,奥氮平片,,
奥硝唑注射液,"3ml:0.5g*5支",5,奥硝唑注射液,,
奥美拉唑肠溶胶囊,"20mg*14粒",14,奥美拉唑肠溶胶囊,,
奥美拉唑肠溶胶囊,"20mg*28粒",28,奥美拉唑肠溶胶囊,,
奥美沙坦酯片,"20mg*28片",28,奥美沙坦酯片,,
孟鲁司特钠片,"10mg*10片",10,孟鲁司特钠片,,
富马酸喹硫平片,"0.1g*20片",20,富马酸喹硫平片,,
富马酸福莫特罗吸入溶液,"2ml:20ug支/袋*4袋/盒",4,富马酸福莫特罗吸入溶液,,
富马酸酮替芬片,"1mg*60片",60,富马酸酮替芬片,,
对乙酰氨基酚片,"0.5g*20片",20,对乙酰氨基酚片,,
对乙酰氨基酚片,"0.5g*30片",30,对乙酰氨基酚片,,
尼可刹米注射液,"1.5ml:0.375g×10支",10,尼可刹米注射液,,
尼可地尔片,"5mg*24片",24,尼可地尔片,,
尼莫地平片,"20mg*50片",50,尼莫地平片,,
尿毒清颗粒(无糖型),"5g*18袋",18,尿毒清颗粒(无糖型),,
